month,minute,Glob irrad,Def_irrad,Temp,RH,Rain Fall,WD,WS
1,450,0,0,-6.5,88.1,0,168.7,2.4
1,455,0,0,-6.5,88.3,0,158.1,2.3
1,500,0,0,-6.5,88.5,0,159.1,2.3
1,505,0,0,-6.5,88.5,0,139,2.4
1,510,0,0,-6.5,88.5,0,152.2,2.3
1,515,0,0,-6.5,88.6,0,154.4,2.3
1,520,0,0,-6.6,88.5,0,154.3,2.4
1,525,0,0,-6.5,88.4,0,170.9,2.3
1,530,0,0,-6.5,88.7,0,154.5,2.4
1,535,0,0,-6.5,88.7,0,147.2,2.4
1,540,0,0,-6.5,88.8,0,147.8,2.4
1,545,0,0,-6.6,88.8,0,161.7,2.4
1,550,0,0,-6.6,89,0,142.6,2.5
1,555,0,0,-6.6,89.1,0,149.6,2.5
1,600,0,0,-6.6,89.1,0,166.9,2.6
1,605,0,0,-6.6,88.8,0,146.8,2.5
1,610,0,0,-6.6,88.7,0.01,146.4,2.4
1,615,0,0,-6.6,88.7,0,141.6,2.5
1,620,0,0,-6.7,88.7,0,157.7,2.5
1,625,0,0,-6.7,88.8,0.01,146.2,2.5
1,630,0,0,-6.7,88.7,0,140.9,2.4
1,635,0,0,-6.7,88.9,0,133.6,2.5
1,640,0,0,-6.7,89,0,180.3,2.5
1,645,0,0,-6.7,89,0.01,170.6,2.5
1,650,0,0,-6.7,88.8,0,160.6,2.4
1,655,0,0,-6.8,88.9,0,156.8,2.4
1,700,0,0,-6.8,88.8,0,143.3,2.5
1,705,0,0,-6.8,89,0,144.7,2.5
1,710,0,0,-6.8,89,0,142.6,2.5
1,715,0,0,-6.9,89,0,157.1,2.5
1,720,0,0,-6.8,89.1,0.01,128.4,2.5
1,725,0,0,-6.8,89.1,0,175.5,2.5
1,730,0,0,-6.9,88.9,0.01,138.9,2.5
1,735,0,0,-6.9,89,0,128.7,2.4
1,740,0,0,-6.9,89.3,0,142,2.4
1,745,0,0,-6.9,89.3,0.01,137.2,2.4
1,750,1,1,-7,89.3,0,152.8,2.5
1,755,2,2,-6.9,89.4,0,121.7,2.5
1,800,3,4,-6.9,89.3,0,123.3,2.5
1,805,5,6,-7.1,89.1,0.01,113.6,2.6
1,810,8,9,-7,89.1,0,117.2,2.7
1,815,12,13,-7,89.1,0,140.4,2.6
1,820,18,17,-7,89.1,0.01,117.4,2.5
1,825,23,21,-6.9,89.1,0.01,139.4,2.7
1,830,28,25,-6.9,89,0,120.2,2.6
1,835,34,29,-6.8,89,0,135.1,2.6
1,840,43,35,-6.8,88.8,0.01,134.3,2.6
1,845,52,40,-6.7,88.7,0,132.8,2.6
1,850,58,43,-6.7,88.7,0,150,2.6
1,855,62,45,-6.6,88.5,0,155.5,2.5
1,900,68,48,-6.6,88.5,0.01,142.9,2.7
1,905,77,50,-6.6,88.5,0,141.3,2.6
1,910,88,55,-6.6,88.6,0,142.4,2.6
1,915,97,60,-6.5,88.6,0.01,154.4,2.5
1,920,108,65,-6.4,88.4,0,144.8,2.7
1,925,120,73,-6.4,88.3,0.01,165.5,2.6
1,930,130,81,-6.3,88.2,0,166.4,2.7
1,935,132,83,-6.2,88.1,0.01,156.6,2.7
1,940,137,84,-6.1,88.2,0,134.5,2.7
1,945,149,88,-6,88,0,135.3,2.9
1,950,159,92,-6,88,0.01,122.1,2.9
1,955,168,96,-5.9,88,0,119.6,2.9
1,1000,169,102,-5.9,88,0,145.3,2.8
1,1005,182,111,-5.8,88,0,139.4,3
1,1010,186,118,-5.7,87.7,0,151.5,3
1,1015,192,127,-5.6,87.8,0.01,153.4,3
1,1020,202,135,-5.6,87.9,0,142.6,3.1
1,1025,209,140,-5.5,87.8,0.01,119.9,3.1
1,1030,216,144,-5.4,88,0,120.9,3.1
1,1035,215,147,-5.6,88.2,0.03,109.7,3
1,1040,222,150,-5.3,88.3,0.04,108.7,2.9
1,1045,231,158,-5.3,88.3,0.02,110.2,2.8
1,1050,240,165,-5.2,88.4,0.01,110.6,3
1,1055,256,176,-5.1,88.1,0.01,110.7,3
1,1100,262,179,-4.8,87.7,0.01,137.2,2.9
1,1105,271,179,-4.7,87.6,0.01,129.3,2.9
1,1110,289,190,-4.7,87.7,0,130.7,2.8
1,1115,298,193,-4.6,87.7,0.01,131.2,3
1,1120,303,192,-4.5,87.5,0,128.1,3
1,1125,312,196,-4.4,87.4,0.01,127.5,2.9
1,1130,310,196,-4.3,87.2,0,139.4,3
1,1135,300,196,-4.3,87.1,0.01,139.6,2.9
1,1140,314,206,-4.2,87.1,0.01,140.7,2.9
1,1145,331,213,-4.1,87,0,140.2,2.9
1,1150,335,204,-4,86.9,0,142,2.9
1,1155,332,201,-3.9,86.7,0,141.8,2.9
1,1200,329,204,-3.9,86.6,0,115.5,3.1
1,1205,342,205,-3.8,86.4,0,130.1,3.1
1,1210,330,203,-3.7,86.3,0,133.3,3.1
